route_id,distance_km,duration_min,conditions,hour_of_day,day_of_week,is_peak,temp,humidity,windspeed,efficiency
1,13.2,27.657103750665428,0,12,5,0,27.85821796147681,78.60780146236723,26.293769615772103,0.4772734021248486
1,13.2,30.840550076432514,0,5,5,0,22.988441556083863,63.532626006332805,4.394651445139072,0.42800793005592563
1,13.2,29.1864388267844,0,23,4,0,31.641829813942408,43.856829077184436,20.26078995847873,0.45226483704775783
1,13.2,30.399424977347095,0,2,6,0,24.762420197085348,66.64431818066961,9.64359800302532,0.4342187396582769
1,13.2,34.26239667737804,2,0,3,0,27.91350989741842,65.28133252032274,8.77072805003148,0.3852620155062118
1,13.2,32.70593941373217,1,9,3,1,34.4504732642405,62.05840400341944,18.004537232481066,0.4035964181618262
1,13.2,29.773911171963757,0,21,6,0,28.99052309633155,41.87709635751844,4.490604295440922,0.4433411493626548
1,13.2,29.995011936495196,1,11,7,0,23.9172341766405,46.507798123069904,0.7873107984322802,0.4400731704306956
1,13.2,30.72026492855075,1,13,5,0,31.707940104103365,47.269549409262396,15.266329033338197,0.429683794417157
1,13.2,27.394310699820892,0,12,3,0,21.12062066765521,85.93214160151379,17.279230452570978,0.48185187591109213
1,13.2,28.048893800006322,0,4,3,0,35.38286790608215,63.95957575896307,7.7033642952494805,0.4706067944824628
1,13.2,28.67075522330017,0,3,3,0,29.422153041212596,68.04180207414976,5.108229503956659,0.46039945223600576
1,13.2,31.54811007285779,2,14,4,0,27.099998271973014,52.78904760257939,4.483902423105298,0.41840858198845116
1,13.2,36.50817514427156,2,20,5,1,30.562148223521532,78.65307403305874,4.764342165420771,0.3615628540138411
1,13.2,33.617590789036754,3,4,3,0,26.996553514441413,65.24606929471103,14.160402269002727,0.39265157586202565
1,13.2,29.930503023470937,1,1,1,0,35.234175886321815,49.00543956401363,9.773651701209591,0.44102165572188373
1,13.2,32.567488600098734,1,17,1,1,25.05969483417563,52.1227406647172,1.5397750901487972,0.405312186091008
1,13.2,36.16390388276593,1,7,6,1,34.82320514428366,53.566921629465455,23.632377434741713,0.36500484136864764
1,13.2,34.3135656675774,0,7,3,1,21.297032861928393,81.57346612136922,17.866736448798413,0.3846875060399966
1,13.2,32.21438080936891,2,12,6,0,34.39351237210165,60.977756702141654,19.693062440100736,0.40975488798347603
1,13.2,31.75530352534556,1,5,2,0,35.08796433266992,51.578204342091894,24.611714703550405,0.4156785964733227
1,13.2,31.897648622777403,0,17,4,1,35.24594430733547,74.05872343142175,28.711174139270383,0.41382360675244795
1,13.2,31.318228424042275,0,3,3,0,20.689600159634725,50.0255574202876,2.494516372358321,0.4214797791648606
1,13.2,29.9028311514003,1,5,3,0,22.24038718874987,85.5135068929121,20.003640680846807,0.4414297740962185
1,13.2,31.017489874124824,0,13,1,0,26.74045394290698,64.33494026541426,2.2109587556484787,0.42556635155095524
1,13.2,31.776626927093748,2,1,1,0,30.873214932559996,81.53677463306673,13.895066450771331,0.41539965932461087
1,13.2,31.437655264929266,1,6,7,0,21.664561011453124,62.116300094831836,5.44613398492701,0.419878641990373
1,13.2,30.54667853952719,0,6,7,0,25.246156650269803,47.269938681379536,3.548635774176404,0.4321255413389476
1,13.2,29.309574253915976,2,3,7,0,25.667387210387993,74.80583267896964,21.142277819673325,0.4503647813388617
1,13.2,38.03190324656325,3,14,1,0,28.91157716579862,41.44590865102244,26.478183073299544,0.34707702936725404
1,13.2,31.04886198373965,0,1,5,0,26.584421772771858,58.61611691180884,15.678312289559168,0.4251363546565045
1,13.2,25.481463664731635,0,23,4,0,35.27641054479571,49.03454684728807,1.8510504571006503,0.5180236180180594
1,13.2,29.051347086499778,1,12,7,0,28.302837286330035,77.79611021714902,11.11642470282118,0.45436791487490324
1,13.2,35.06033380115683,0,9,2,1,28.786633651464825,83.95453936861466,9.318945492213413,0.3764938484289177
1,13.2,37.108595914188584,3,3,4,0,30.56638785321158,61.41630804333391,23.171676673225306,0.3557127311020932
1,13.2,29.6576457516558,1,23,2,0,29.171937588665863,61.36386698356445,28.023403085375012,0.44507915801991926
1,13.2,27.291412085499786,0,4,4,0,20.401395165027882,56.33803471588682,0.8220845428392587,0.4836686338781751
1,13.2,33.32581102183102,1,12,6,0,22.083960623804124,66.02726553769357,25.412031206986015,0.39608938523215426
